drips=1 water was=1 now=21, filled was 0 now=0
drips=2 water was=21 now=20, filled was 0 now=19
drips=3 water was=20 now=19, filled was 19 now=38
drips=4 water was=19 now=18, filled was 38 now=57
drips=5 water was=18 now=17, filled was 57 now=63
drips=6 water was=17 now=16, filled was 63 now=69
drips=7 water was=16 now=15, filled was 69 now=75
drips=8 water was=15 now=14, filled was 75 now=81
drips=9 water was=14 now=13, filled was 81 now=87
drips=10 water was=13 now=12, filled was 87 now=93
drips=11 water was=12 now=11, filled was 93 now=99
drips=12 water was=11 now=18, filled was 99 now=99
drips=13 water was=18 now=44, filled was 99 now=99
drips=14 water was=44 now=43, filled was 99 now=100
drips=15 water was=43 now=42, filled was 100 now=101
drips=16 water was=42 now=46, filled was 101 now=101
drips=17 water was=46 now=64, filled was 101 now=101
drips=18 water was=64 now=62, filled was 101 now=117
drips=19 water was=62 now=60, filled was 117 now=133
drips=20 water was=60 now=58, filled was 133 now=149
drips=21 water was=58 now=56, filled was 149 now=165
drips=22 water was=56 now=54, filled was 165 now=181
drips=23 water was=54 now=52, filled was 181 now=197
drips=24 water was=52 now=50, filled was 197 now=210
drips=25 water was=50 now=48, filled was 210 now=223
drips=26 water was=48 now=46, filled was 223 now=236
drips=27 water was=46 now=41, filled was 236 now=252
drips=28 water was=41 now=40, filled was 252 now=268
drips=29 water was=40 now=57, filled was 268 now=268
drips=30 water was=57 now=88, filled was 268 now=268
drips=31 water was=88 now=87, filled was 268 now=285
drips=32 water was=87 now=86, filled was 285 now=302
drips=33 water was=86 now=85, filled was 302 now=319
drips=34 water was=85 now=84, filled was 319 now=324
drips=35 water was=84 now=83, filled was 324 now=329
drips=36 water was=83 now=82, filled was 329 now=334
drips=37 water was=82 now=81, filled was 334 now=339
drips=38 water was=81 now=80, filled was 339 now=344
drips=39 water was=80 now=79, filled was 344 now=349
drips=40 water was=79 now=78, filled was 349 now=354
drips=41 water was=78 now=77, filled was 354 now=359
drips=42 water was=77 now=76, filled was 359 now=364
drips=43 water was=76 now=82, filled was 364 now=364
drips=44 water was=82 now=114, filled was 364 now=364
drips=45 water was=114 now=113, filled was 364 now=380
drips=46 water was=113 now=112, filled was 380 now=396
drips=47 water was=112 now=111, filled was 396 now=401
drips=48 water was=111 now=110, filled was 401 now=406
drips=49 water was=110 now=109, filled was 406 now=411
drips=50 water was=109 now=108, filled was 411 now=416
drips=51 water was=108 now=107, filled was 416 now=421
drips=52 water was=107 now=106, filled was 421 now=426
drips=53 water was=106 now=105, filled was 426 now=431
drips=54 water was=105 now=104, filled was 431 now=436
drips=55 water was=104 now=103, filled was 436 now=441
drips=56 water was=103 now=109, filled was 441 now=441
